Symbol,ID,Exp Log Ratio,Exp p-value,Exp False Discovery Rate (q-value),Entrez Gene Name
A1BG,ENSG00000121410,-0.168,6.08E-01,9.19E-01,alpha-1-B glycoprotein
A1BG-AS1,ENSG00000268895,0.348,2.65E-01,7.36E-01,A1BG antisense RNA 1
A1CF,ENSG00000148584,-0.159,8.42E-01, ,APOBEC1 complementation factor
A2M,ENSG00000175899,-0.259,6.85E-01,9.44E-01,alpha-2-macroglobulin
A2M-AS1,ENSG00000245105,-1.151,8.47E-02,4.80E-01,A2M antisense RNA 1 (head to head)
A2ML1,ENSG00000166535,-1.981,1.27E-02,1.81E-01,alpha-2-macroglobulin-like 1
A2ML1-AS1,ENSG00000256661,0.008,9.92E-01, ,A2ML1 antisense RNA 1
A2ML1-AS2,ENSG00000256904, , , , 
A2MP1,ENSG00000256069,-0.095,8.95E-01, ,alpha-2-macroglobulin pseudogene 1
A3GALT2,ENSG00000184389,-0.669,1.17E-01,5.50E-01,"alpha 1,3-galactosyltransferase 2"
A4GALT,ENSG00000128274,1.261,8.55E-02,4.82E-01,"alpha 1,4-galactosyltransferase"
A4GNT,ENSG00000118017,-0.677,3.81E-01, ,"alpha-1,4-N-acetylglucosaminyltransferase"
AA06,ENSG00000265544,-0.406,6.02E-01, ,uncharacterized LOC100506677
AAAS,ENSG00000094914,-0.234,1.90E-01,6.59E-01,"achalasia, adrenocortical insufficiency, alacrimia"
AACS,ENSG00000081760,0.205,3.54E-01,8.04E-01,acetoacetyl-CoA synthetase
AACSP1,ENSG00000250420,-1.353, , ,acetoacetyl-CoA synthetase pseudogene 1
AADAC,ENSG00000114771,0.301,5.46E-01, ,arylacetamide deacetylase
AADACL2,ENSG00000261846, , , ,arylacetamide deacetylase-like 2
AADACL2,ENSG00000197953,-0.362,4.61E-01, ,arylacetamide deacetylase-like 2
AADACL2-AS1,ENSG00000242908,0.47,4.25E-01, ,AADACL2 antisense RNA 1
AADACL2-AS1,ENSG00000262466, , , ,AADACL2 antisense RNA 1
AADACL3,ENSG00000188984, , , ,arylacetamide deacetylase-like 3
AADACL4,ENSG00000204518,0.293,5.52E-01, ,arylacetamide deacetylase-like 4
AADACP1,ENSG00000240602,0.307,5.41E-01, ,arylacetamide deacetylase pseudogene 1
AADAT,ENSG00000109576,-0.081,7.97E-01,9.69E-01,aminoadipate aminotransferase
AAED1,ENSG00000158122,-0.056,8.94E-01,9.87E-01,AhpC/TSA antioxidant enzyme domain containing 1
AAGAB,ENSG00000103591,0.147,3.89E-01,8.23E-01,alpha- and gamma-adaptin binding protein
AAK1,ENSG00000115977,0.448,2.89E-01,7.57E-01,AP2 associated kinase 1
AAMDC,ENSG00000087884,0.429,3.66E-01,8.12E-01,"adipogenesis associated, Mth938 domain containing"
AAMP,ENSG00000127837,0.013,9.47E-01,9.94E-01,"angio-associated, migratory cell protein"
AANAT,ENSG00000129673,0.868,1.91E-01, ,aralkylamine N-acetyltransferase
AAR2,ENSG00000131043,0.142,5.30E-01,8.89E-01,AAR2 splicing factor homolog
AARD,ENSG00000205002,1.335,1.33E-02,1.86E-01,alanine and arginine rich domain containing protein
AARS,ENSG00000090861,0.575,1.18E-01,5.52E-01,alanyl-tRNA synthetase
AARS2,ENSG00000124608,-0.017,9.47E-01,9.94E-01,"alanyl-tRNA synthetase 2, mitochondrial"
AARSD1,ENSG00000266967,0.042,9.14E-01,9.90E-01,alanyl-tRNA synthetase domain containing 1
AARSP1,ENSG00000249038,0.301,5.46E-01, , 
AASDH,ENSG00000157426,-0.499,1.70E-02,2.11E-01,aminoadipate-semialdehyde dehydrogenase
AASDHPPT,ENSG00000149313,-0.003,9.94E-01,9.98E-01,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS,ENSG00000008311,-0.874,4.90E-02,3.68E-01,aminoadipate-semialdehyde synthase
AATBC,ENSG00000215458,-0.164,8.35E-01, ,apoptosis associated transcript in bladder cancer
AATK,ENSG00000181409,0.02,9.74E-01,9.97E-01,apoptosis-associated tyrosine kinase
AATK-AS1,ENSG00000225180,0.211,7.87E-01, ,AATK antisense RNA 1
ABAT,ENSG00000183044,-1.036,6.31E-02,4.21E-01,4-aminobutyrate aminotransferase
ABCA1,ENSG00000165029,0.55,3.12E-01,7.75E-01,"ATP-binding cassette, sub-family A (ABC1), member 1"
ABCA10,ENSG00000154263,-0.194,7.41E-01,9.58E-01,"ATP-binding cassette, sub-family A (ABC1), member 10"
ABCA11P,ENSG00000251595,-0.06,8.52E-01,9.78E-01,"ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene"
ABCA12,ENSG00000144452,2.522,3.48E-11,4.57E-08,"ATP-binding cassette, sub-family A (ABC1), member 12"
ABCA13,ENSG00000179869,0.522,2.19E-01,6.94E-01,"ATP-binding cassette, sub-family A (ABC1), member 13"
ABCA17P,ENSG00000238098,0.155,7.72E-01,9.65E-01,"ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene"
ABCA2,ENSG00000107331,-0.06,7.75E-01,9.66E-01,"ATP-binding cassette, sub-family A (ABC1), member 2"
ABCA3,ENSG00000167972,-0.03,9.45E-01,9.94E-01,"ATP-binding cassette, sub-family A (ABC1), member 3"
ABCA4,ENSG00000198691,0.753,2.39E-01,7.17E-01,"ATP-binding cassette, sub-family A (ABC1), member 4"
ABCA5,ENSG00000154265,-0.592,1.43E-01,5.95E-01,"ATP-binding cassette, sub-family A (ABC1), member 5"
ABCA6,ENSG00000154262,-0.27,6.67E-01,9.39E-01,"ATP-binding cassette, sub-family A (ABC1), member 6"
ABCA7,ENSG00000064687,0.139,7.68E-01,9.64E-01,"ATP-binding cassette, sub-family A (ABC1), member 7"
ABCA8,ENSG00000141338,1.05,3.48E-02,3.13E-01,"ATP-binding cassette, sub-family A (ABC1), member 8"
ABCA9,ENSG00000154258,0.413, , ,"ATP-binding cassette, sub-family A (ABC1), member 9"
ABCA9-AS1,ENSG00000231749, , , , 
ABCB1,ENSG00000085563,0.432,5.69E-01,9.07E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABCB10,ENSG00000135776,0.064,8.65E-01,9.81E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 10"
ABCB10P3,ENSG00000261524,-0.376,4.48E-01, ,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3"
ABCB10P4,ENSG00000260053, , , ,"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4"
ABCB11,ENSG00000073734,0.517, , ,"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
ABCB4,ENSG00000005471,1.237,3.97E-02,3.35E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 4"
ABCB5,ENSG00000004846,0.058,9.39E-01, ,"ATP-binding cassette, sub-family B (MDR/TAP), member 5"
ABCB6,ENSG00000115657,-0.272,3.97E-01,8.29E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)"
ABCB7,ENSG00000131269,-0.075,7.30E-01,9.55E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
ABCB8,ENSG00000197150,0.157,4.61E-01,8.57E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 8"
ABCB9,ENSG00000150967,0.634,4.12E-02,3.41E-01,"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
ABCC1,ENSG00000103222,0.361,1.64E-01,6.30E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1"
ABCC10,ENSG00000124574,-0.022,9.20E-01,9.91E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 10"
ABCC11,ENSG00000121270,0.025,9.54E-01,9.96E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 11"
ABCC12,ENSG00000140798,-0.267,7.35E-01, ,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
ABCC13,ENSG00000243064,0.342,6.64E-01, ,"ATP-binding cassette, sub-family C (CFTR/MRP), member 13, pseudogene"
ABCC2,ENSG00000023839,-0.484,2.80E-01,7.50E-01,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2"
ABCC3,ENSG00000108846,3.577,2.79E-07,6.63E-05,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
