Symbol	28iALS_1	28iALS_2	29iALS_1	29iALS_2	30iALS_1	52iALS_1	52iALS_2	00iCTR_1	00iCTR_2	25iCTR_1_A	25iCTR_1_B	25iCTR_2	83iCTR_1	83iCTR_2
UBA6	1515.96	1325.49	2046.09	2373.03	3139.98	1888.97	1133.23	2428.8	2369.05	3298.28	3562.29	4558.27	2698.67	2410.73
ESYT2	0.0	0.0	166.46	245.38	140.69	0.0	0.0	0.0	0.0	88.14	81.26	0.0	92.94	24.49
SHTN1	0.0	0.0	0.0	64.01	206.67	0.0	179.03	93.06	70.56	329.18	274.13	758.07	1469.21	1535.94
GXYLT2	45.16	0.0	220.66	135.43	0.0	556.94	390.97	40.96	37.02	22.63	0.0	0.0	0.0	25.72
ILVBL	0.0	200.78	670.33	765.68	493.34	426.52	122.09	355.28	155.03	690.57	623.43	1104.38	645.16	752.21
SH3PXD2B	666.56	171.46	936.95	1268.39	1346.82	1002.27	729.21	369.25	850.85	2097.9	1657.83	2510.06	1653.27	981.64
NBAS	0.0	55.16	241.73	468.63	340.5	250.32	168.9	0.0	0.0	381.51	367.14	593.6	370.58	332.62
CNOT1	1164.08	1366.22	1476.51	1829.97	1499.88	1561.78	849.98	2798.64	1918.65	3820.04	3563.43	4635.62	3414.29	3235.91
PGP	0.0	261.49	181.5	125.76	252.06	255.99	162.91	246.03	133.79	276.71	252.2	230.08	229.5	180.53
C5ORF51	0.0	58.59	81.48	134.88	106.15	63.37	0.0	118.6	89.89	225.83	199.44	438.33	295.37	235.14
BTBD17	0.0	44.43	0.0	0.0	0.0	0.0	0.0	83.44	81.98	62.07	0.0	27.7	11.4	0.0
SMCHD1	963.53	982.15	1365.09	1278.57	1311.16	642.68	510.52	1651.19	1310.49	1732.91	1725.49	2219.39	1582.25	1831.2
CASTOR2	0.0	0.0	0.0	0.0	176.92	0.0	0.0	0.0	133.02	198.88	251.45	310.26	202.68	180.6
UNC119B	92.08	110.98	83.46	368.49	320.7	274.22	87.21	590.16	470.67	807.86	946.71	403.73	434.37	395.65
MCRIP1	0.0	379.53	422.33	791.2	673.57	1080.18	593.18	852.5	632.78	1563.67	1308.13	2415.78	1027.45	970.97
DNASE2	144.58	685.4	3509.73	3853.86	3841.26	2487.39	1257.28	1555.98	777.89	3177.6	3462.13	2883.56	1842.03	1401.99
AGPS	1544.9	1315.63	3094.47	2903.77	3823.42	1973.9	908.47	2524.73	2228.86	6175.8	4911.37	5416.5	2701.63	2776.56
KIF2A	2181.28	2739.95	4552.52	4332.73	4318.12	2980.16	1397.44	5159.59	3748.62	7727.94	8137.35	10110.2	5952.66	5407.03
DDX39A	0.0	0.0	154.81	0.0	155.65	0.0	0.0	152.92	140.45	273.4	303.55	91.95	292.67	257.94
PDLIM1	482.72	954.44	5935.55	5958.58	11840.7	1788.17	692.76	539.3	599.01	5828.77	5660.17	6427.5	3200.52	2940.5
ACOT7	17640.0	30860.4	21195.7	16581.9	25355.6	7935.35	4050.31	33179.0	27106.4	17798.1	18647.2	21952.0	21650.7	14090.0
MYO1C	0.0	0.0	926.33	943.63	463.75	1275.9	708.66	193.23	234.65	360.37	255.02	251.24	174.43	109.0
SNAP23	0.0	0.0	243.78	742.35	593.89	680.81	416.89	208.2	162.51	736.15	837.91	785.2	105.98	153.14
AIP	0.0	202.55	491.03	26.83	0.0	80.0	159.2	578.38	510.17	835.67	785.26	980.66	755.82	631.2
